Group	Description	Species	CET	HAS	HOS	GSE	HAS	SEA	LCO	SCO	LGH	SGH	APL	FLO	SKA	RED	LDF	SDF	CAP	SAL	ACO	LPF	PIP	PLP	SHR	LCR	ECH	MOL	POL	OBI	LZO	SZO	PHY	DET
CET	Cetaceans	 Balaenoptera physalus, Balaenoptera acutorostrata, Lagenorhynchus acutus, Lagenorhynchus albirostris, Megaptera novaeangliae, Phocoena phocoena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAS	Harp seals	 Phoca groenlandica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOS	Hooded seals	 Cystophora cristata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSE	Grey seals	 Halichoerus grypus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAS	Harbour seals	 Phoca vitulina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEA	Seabirds	 Alca torda, Cepphus grylle, Fratercula arctica, Larus argentatus, L. delwarensis, L. marinus, Morus bassanus, Oceanodroma leucorhoa, Phalacrocorax auritus, P. carbo, Sterna hirundo, S. paradisaea, Rissa tridactyla, Uria aalge	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCO	Large Atlantic cod (> 35 cm)	 Gadus morhua	0.2	1.2	10.5	11	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCO	Small Atlantic cod (? 35 cm)	 Gadus morhua	1.7	3.3	10.2	10.7	5.6	0.2	2.7	0.2	0.6	0.1	0.2	0	2.8	0.1	3.8	0	0	0	0	4.5	0	0	0	0	0	0	0	0	0	0	0	0
LGH	Large Greenland halibut (> 40 cm)	 Reinhardtius hippoglossoides	0	2.1	1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SGH	Small Greenland halibut (? 40 cm)	 Reinhardtius hippoglossoides	0	2.3	24	0.3	0	0.4	0.3	0	0.5	0.1	0.3	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APL	American plaice	 Hippoglossoides platessoides	0	4.1	0	5.3	0	0.4	2.9	0	0	0	0.9	0	0.1	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLO	Flounders	 Glyptocephalus cynoglossus, Limanda ferruginea, Paralichthys oblongus, Pseudopleureonectes americanus	0	6.9	14.6	8.4	1.8	0.4	1.9	0	0.3	0.1	0.4	0	4.8	0	0.5	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0
SKA	Skates	 Raja laevis, R. ocellata, R. radiata, R. senta, R. spinicauda,	0	0	0	17.3	0.1	0.4	0.2	0	0.1	0	0	0	4.4	0	4.8	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0
RED	Redfish	 Sebastes fasciatus, S. mentella	0.2	4.6	13.1	0	0.4	0	11.8	0	5	0.4	0	0	14.3	1.1	3.2	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0
LDF	Large demersal feeders	 Anarhichas spp., Centroscyllium fabricii, Cyclopterus lumpus, Hippoglossus hippoglossus, Lophius americanus, Melanogrammus aegelfinnus, Urophycis tenuis, Lycodes spp., Macrouridae, Zoarcidae	2.1	3.3	1.2	11	2.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDF	Small demersal feeders	 Argentina spp., Emicrotremus spp., Macrozoarces americanus, Myoxocephalus spp., Tautogolabrus adspersus, Bleniidae, Cottidae, Phjolidae, Zoarcidae, juvenile large demersal feeders	1.7	2.2	5.7	12.8	3	8.3	3.6	5	15.9	6.5	1.2	2.3	15.8	0.9	10.1	1	0	0	0	5.3	0	0	0	1.8	0	0	0	0	0	0	0	0
CAP	Capelin	 Mallotus villosus	50.7	29.2	0.5	8.3	5.9	41	30.3	18.3	32.7	57.2	15.2	2.4	4.4	10.3	6.7	2	1.4	0	1.9	3.5	0	0	0	0	0	0	0	0	0	0	0	0
SAL	Sand lance	 Ammodytes americanus, A. dubius	4.6	2.9	0	5.7	0	27.9	0	0.6	0	0.4	6.6	2.4	12.5	0.7	6.1	1	1.4	0	0	4.2	0	0	0	0	0	0	0	0	0	0	0	0
ACO	Arctic cod	 Boreogadus saida	0	16.9	8	0	0	2.7	2.4	0	0	0	0.1	0	0.1	0	3.3	0.5	0	0	0.1	4.5	0	0	0	0	0	0	0	0	0	0	0	0
LPF	Large pelagic feeders	 Cetorhinus maximus, Merluccius bilinearis, Pollachius virens, Squalus acanthias, Thunnus thynnus	0.3	0.2	0	0.6	8.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIP	Piscivorous small pelagic feeders	 Illex illecebrosus, Scomber scombrus, piscivorous myctophids and other mesopelagics, piscivorous juvenile large pelagic feeders	18.7	2.2	3.4	2.7	29.9	9.7	13.8	0	1.6	2	0	0	3.2	0.3	8.2	0.2	0	0	0	23.7	0	0	0	0	0	0	0	0	0	0	0	0
PLP	Planktivorous small pelagic feeders	 Clupea harengus harengus, Gonatus spp., Scomberesox saurus, planktivorous myctophids and other mesopelagics, planktivorous juvenile large pelagic feeders	7.9	6.2	7	5.8	33.5	2.2	6.9	0	16.6	0	0	0	0.4	11.5	6.8	0.3	0	0	0	7.1	0	0	0	0	0	0	0	0	0	0	0	0
SHR	Shrimp	 Pandalus borealis, Pandalus montagui	0.1	2.1	0	0	5.9	0.6	4	15.4	25	18.6	3.1	0.9	1.3	31.1	7.5	2	0	0	0	24.1	0.2	6.3	0	0	0	0	0	0	0	0	0	0
LCR	Large crustaceans	 Chionoecetes opilio, other non-commercial species (Hyas spp.)	0	0.9	0	0.1	0.4	0	4.2	0.4	0	0	8.1	0.2	20.2	0	1.8	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ECH	Echinoderms	 Echinarachnius parma, Ophiura robusta, Stronglyocentrotus pallidus	0	0	0	0	0	0	2.6	0.1	0	0	45.1	5.3	0.9	0	10	10	0	0	0	0.8	0	0	0	11.8	0	0	0	0	0	0	0	0
MOL	Molluscs	 Cyrtodaria siliqua, Mesodesma deauratum	0	0	0	0	0.2	0	1	0.1	0	0.1	3.6	5.2	1.3	0	3.3	10	0	0	0	0	0.2	0	0	26.9	0	0	0	0	0	0	0	0
POL	Polychaetes	 Exogene hebes	0	0	0	0	0	0	1	2	0	0	3.6	50.2	11.9	0	4.2	20	0	0	0	0.2	0	0	1.5	1.5	0	0	13.4	0	0	0	0	0
OBI	Other benthic invertebrates	 Miscellaneous crustaceans, nematodes, other meiofauna	0	1.8	0	0	0.1	0.6	0.3	0.2	0	0	5.8	28.4	0.6	0	7.3	42	0	0	0	8.1	0	4.6	1.5	1.5	0	0	0	0	0	0	0	0
LZO	Large zooplankton (> 5 mm)	 Euphausiids, chaetognaths, hyperiid amphipods, cnidarians and ctenophores (jellyfish), mysids, tunicates >5 mm, ichthyoplankton	7.8	7.6	0	0	0	5	10.3	56.9	1.4	14.4	5.7	2.6	1	36.3	10.9	5	46.5	16.9	34.4	12.5	54.2	43.1	12	12	0	0	0	0	5	0	0	0
SZO	Small zooplankton (< 5 mm)	 Copepods (mainly Calanus finmarchicus, C. hyperboreus, and Oithona similis), tunicates < 5 mm, meroplankton	4.2	0	0	0	0	0.2	0.1	0.9	0	0	0	0	0.1	7.8	0.8	5	50.7	83	63.6	0.6	45.5	46	24	24	0	0	0	0	43	12.5	0	0
PHY	Phytoplankton	 Diatom species such as Chaetoceros affinis, Chaetoceros spp., Fragilariopsis oceanica, F. cylindrus, Leptocylindrus minimus, Thalassiiosira bioculata, T. nordenskioldii, T. pacifica, T. punctigera, and a mixture of autotrophic and mixotrophic organisms including: Cryptophytes, dinoflagellates, Prasinophytes, Prymnesiophytes, and mixotrophic Stombidium spp.,	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	8.5	8.5	0	5	43.3	0	37	54.1	0	0
DET	Detritus	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.5	52.5	100	95	43.3	100	15	33.4	0	0
