Group	Description	Species	CET	HAS	HOS	GSE	HAS	SEA	LCO	SCO	GRH	SAP	LAP	FLO	SKA	RED	LDF	SDF	CAP	LPF	PIP	PLP	SHR	LCR	ECH	MOL	POL	OBI	LZO	SZO	PHY	DET
CET	Cetaceans	 Balaenoptera physalus, Balaenoptera acutorostrata, Megaptera novaeangliae, Phocoena phocoena, Lagenorhynchus acutus, Lagenorhynchus albirostris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAS	Harp seals	 Phoca groenlandica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOS	Hooded seals	 Cystophora cristata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSE	Grey seals	 Halichoerus grypus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAS	Harbour seals	 Phoca vitulina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEA	Seabirds	 Phalacrocorax carbo, Phalacrocorax auritus, Larus delwarensis, L. argentatus, L. marinus, Sterna hirundo, S. paradisaea, Cepphus grylle, Oceanodroma leucorhoa, Morus bassanus, Rissa tridactyla, Uria aalge, Alca torda, Fratercula arctica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCO	Large Atlantic cod	 (> 35 cm) Gadus morhua	0	1.2	10.6	11.7	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCO	Small Atlantic cod	 (? 35 cm) Gadus morhua	1.1	3.5	10.3	11.7	5.6	0.2	3.1	0	0	0	0	0	3.3	0.3	1.1	6	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0
GRH	Greenland halibut	 Reinhardtius hippoglossoides	0	3.7	24.5	0.2	0	0.5	0	0	0.1	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAP	Small American plaice	 (? 35 cm) Hippoglossoides platessoides	0	0.7	0	2.9	0	0.5	0.5	0	0.1	0	0	0	0.1	0	0.6	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAP	Large American plaice	 (> 35 cm) Hippoglossoides platessoides	0	0.7	0	2.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLO	Flounders	 Limanda ferruginea, Glyptocephalus cynoglossus, Pseudopleuronectes americanus	0	2	14.8	6.5	1.8	0.5	0.8	4.9	0.1	0	0	0	0.5	0	0.6	8.4	0	3.1	0	0	0	0	0	0	0	0	0	0	0	0
SKA	Skates	 Amblyraja radiata, Malacoraja senta, Leucoraja ocellata	0	0	0	13.5	0.1	0.5	0	0	0	0	0	0	0	0	0.8	0	0	2.9	0	0	0	0	0	0	0	0	0	0	0	0
RED	Redfish	 Sebastes mentella, Sebastes fasciatus	0.9	2.2	13.3	0	0.4	0	0	0	3.9	0	0	0	13.6	1.7	0.4	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0
LDF	Large demersal feeders	 Urophycis tenuis, Melanogrammus aeglefinnus, Centroscyllium fabricii, Anarhichas spp., Cyclopterus lumpus, Lycodes spp., Macrouridae, Zoarcidae, Lophius americanus, Hippoglossus hippoglossus	0	1	1.2	11.9	2.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDF	Small demersal feeders	 Myoxocephalus spp., Tautogolabrus adspersus, Macrozoarces americanus, large demersal juveniles	0	4.1	5.8	17.8	3	7.7	4.8	3.2	9.8	0	0.1	0.9	18.6	1.6	2.3	17.8	0	4	0	0	0	0	0	0	0	0	0	0	0	0
CAP	Capelin	 Mallotus villosus	21.7	58.5	8.9	8.7	5.9	46	2	0	50.3	0	0	0	1.8	5.2	0.8	0.3	0	3.1	6.7	0	0	0	0	0	0	0	0	0	0	0
LPF	Large pelagic feeders	 Squalus acanthias, Pollachius virens, Merluccius bilinearis, Cetorhinus maximus	2.2	0	0	0.5	8.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIP	Piscivorous small pelagic feeders	 Scomber scombrus, piscivorous myctophids and other mesopelagics, Illex illecebrosus, piscivorous large pelagic juveniles	41.4	2.6	3.5	1.3	29.9	7.8	2	0	0.9	0	0	0	2.7	0.2	8.9	0	0	3.1	0	0	0	0	0	0	0	0	0	0	0	0
PLP	Planktivorous small pelagic feeders	 Clupea harengus harengus, planktivorous myctophids and other mesopelagics, Scomberesox saurus, Gonatus sp., planktivorous large pelagic juveniles	30.2	9.9	7.1	10.4	33.5	31.3	8.9	0	7.5	0	0	1.2	36.9	13.9	75.8	5.8	0	45.8	5.3	0	0	0	0	0	0	0	0	0	0	0
